,TIME_STAMP,Lon,Lat,GPS Lon,GPS Lat,GPS Time,GPS Head,GPS Speed (km/h),GPS Speed(Complement),GPS Distance (m),GPS Source,GPS Data Ind,GPS Area,GPS Satellite Status NMEA GPS List[0] PRN,GPS Satellite Status NMEA GPS List[0] Elevation,GPS Satellite Status NMEA GPS List[0] Azimuth,GPS Satellite Status NMEA GPS List[0] SNR [dB],GPS Satellite Status NMEA GPS List[1] PRN,GPS Satellite Status NMEA GPS List[1] Elevation,GPS Satellite Status NMEA GPS List[1] Azimuth,GPS Satellite Status NMEA GPS List[1] SNR [dB],GPS Satellite Status NMEA GPS List[2] PRN,GPS Satellite Status NMEA GPS List[2] Elevation,GPS Satellite Status NMEA GPS List[2] Azimuth,GPS Satellite Status NMEA GPS List[2] SNR [dB],GPS Satellite Status NMEA GPS List[3] PRN,GPS Satellite Status NMEA GPS List[3] Elevation,GPS Satellite Status NMEA GPS List[3] Azimuth,GPS Satellite Status NMEA GPS List[3] SNR [dB],Event Technology,Event Port Number,LTE KPI Chip Type,LTE KPI PCell Serving PCI,LTE KPI PCell Serving Band,LTE KPI PCell Serving EARFCN(DL),LTE KPI PCell Serving EARFCN(UL),LTE KPI PCell Serving BandWidth(DL),LTE KPI PCell Serving RSRP[dBm],LTE KPI PCell Serving RSRQ[dB],LTE KPI PCell Serving RSSI[dBm],LTE KPI PCell PUSCH Power[dBm],LTE KPI PCell PUCCH Power[dBm],LTE KPI PCell Total Tx Power[dBm],LTE KPI PCell SINR[dB],LTE KPI PCell WB CQI CW0,LTE KPI PCell WB CQI CW1,LTE KPI PCell WB RI,LTE KPI PCell WB RI1 Rate,LTE KPI PCell WB RI2 Rate,LTE KPI PCell WB RI3 Rate,LTE KPI PCell WB RI4 Rate,LTE KPI PCell Tx Mode,LTE KPI PCell WB PMI 0,LTE KPI PCell M(Tx) x N(Rx) Ant,LTE KPI PCell DL MCS0,LTE KPI PCell DL MCS1,LTE KPI PCell UL MCS,LTE KPI PCell DL Modulation0,LTE KPI PCell DL Modulation1,LTE KPI PCell UL Modulation,LTE KPI Pcell PDSCH PRB Number(Avg),LTE KPI PCell PUSCH PRB Number(Avg),LTE KPI PCell PDSCH PRB Number(Including 0),LTE KPI PCell PDSCH PRB Number TB0(Including 0),LTE KPI PCell PDSCH PRB Number TB1(Including 0),LTE KPI PCell PUSCH PRB Number(Including 0),LTE KPI PCell PDSCH BLER[%],LTE KPI PCell PUSCH BLER[%],LTE KPI PCell PDSCH Throughput[Mbps],LTE KPI PCell PUSCH Throughput[Mbps],LTE KPI PCell MAC DL Throughput[Mbps],LTE KPI PCell MAC UL Throughput[Mbps],LTE KPI PDSCH PRB Number(Avg)(Total),LTE KPI PUSCH PRB Number(Avg)(Total),LTE KPI PDSCH PRB Number(Including 0)(Total),LTE KPI PUSCH PRB Number(Including 0)(Total),LTE KPI PDSCH BLER[%],LTE KPI PUSCH BLER[%],LTE KPI PDSCH Throughput[Mbps],LTE KPI PUSCH Throughput[Mbps],LTE KPI MAC DL Throughput[Mbps],LTE KPI MAC UL Throughput[Mbps],LTE KPI RLC DL Throughput[Mbps],LTE KPI RLC UL Throughput[Mbps],LTE KPI PDCP DL Throughput[Mbps],LTE KPI PDCP UL Throughput[Mbps],LTE KPI CA Type,LTE KPI UL CA Type,LTE KPI Band Combination,Smart Phone Smart Throughput Mobile Network DL Throughput [Mbps],Smart Phone Smart Throughput Mobile Network UL Throughput [Mbps],Smart Phone Smart Throughput Mobile Network Rx Byte,Smart Phone Smart Throughput Mobile Network Tx Byte
0,2022-08-12 15:34:31.900000,-94.177773,41.517761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,QPSK,,,9.0,,,,,,0.0,,,,,,9.0,,,,0.0,,,,,,,,,,,,,,,,
1,2022-08-12 15:34:31.937753,-94.177773,41.517761,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2022-08-12 15:34:32.000000,-94.177773,41.517761,-94.17777,41.51776,15:34:32,89.0,131.0,131.0,,1.0,2.0,,,,,,,,,,,,,,,,,,LTE,,LTE Qualcomm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,0.0,,0.0,,,,0.0,,,,0.0,,0.0,,,,,,,,,,,,
3,2022-08-12 15:34:32.100000,-94.177727,41.517761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,397.0,Band 66,66986.0,132522.0,10.0,-95.38,-14.0,-60.19,,-0.75,,17.6,15.0,0.0,,,,,,TM4,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NonCA,,Band 66,,,,
4,2022-08-12 15:34:32.200000,-94.177681,41.517761,,,,,,,,,,,8.0,7.0,325.0,20.0,10.0,46.0,291.0,28.0,18.0,64.0,142.0,33.0,23.0,70.0,340.0,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2022-08-12 15:34:32.300000,-94.177643,41.517761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,397.0,Band 66,66986.0,132522.0,10.0,-95.19,-12.81,-59.44,,,-1.0,17.1,15.0,0.0,,,,,,TM4,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,NonCA,,Band 66,0.0,0.0,0.0,0.0
6,2022-08-12 15:34:32.600000,-94.177505,41.517761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,397.0,Band 66,66986.0,132522.0,10.0,-96.5,-12.75,-64.47,,,6.5,20.92,14.0,7.0,2.0,0.0,100.0,0.0,0.0,TM4,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NonCA,,Band 66,,,,
7,2022-08-12 15:34:32.700000,-94.17746,41.517761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,397.0,Band 66,66986.0,132522.0,10.0,-98.14,-12.5,-65.11,,,-2.0,17.58,15.0,0.0,,,,,,TM4,14.0,,0.0,,,QPSK,,,2.0,,,,,,0.0,,,,,,2.0,,,,0.0,,,,,,0.0,,0.0,,NonCA,,Band 66,,,,
8,2022-08-12 15:34:32.800000,-94.177422,41.517761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,397.0,Band 66,66986.0,132522.0,10.0,-97.24,-11.33,-62.53,,,-2.5,21.62,11.0,13.0,2.0,0.0,100.0,0.0,0.0,TM4,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NonCA,,Band 66,0.0,0.0,0.0,0.0
9,2022-08-12 15:34:32.900000,-94.177376,41.517761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,397.0,Band 66,66986.0,132522.0,10.0,-99.06,-13.38,-59.94,,,,20.95,13.0,14.0,,,,,,TM4,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NonCA,,Band 66,,,,
10,2022-08-12 15:34:33.000000,-94.17733,41.517761,-94.17733,41.51776,15:34:33,89.0,131.0,131.0,36.67,1.0,2.0,,,,,,,,,,,,,,,,,,LTE,,LTE Qualcomm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.002,,0.002,,,,,,,,0.002,,0.002,,,,,,,,,,,
11,2022-08-12 15:34:33.100000,-94.177284,41.517761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,397.0,Band 66,66986.0,132522.0,10.0,-99.0,-14.88,-59.38,,,-2.0,18.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,NonCA,,Band 66,,,,
12,2022-08-12 15:34:33.200000,-94.177246,41.517761,,,,,,,,,,,8.0,7.0,325.0,20.0,10.0,46.0,291.0,29.0,18.0,64.0,142.0,34.0,23.0,70.0,340.0,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,,,64QAM,,3.0,,,,,,0.0,,,,,,3.0,,,,0.0,,,,,,,,,,NonCA,,,,,
13,2022-08-12 15:34:33.300000,-94.1772,41.517761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
14,2022-08-12 15:34:33.500000,-94.177116,41.517761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.0,-1.63,-2.0,,14.0,15.0,,,,,,TM4,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,
15,2022-08-12 15:34:33.700000,-94.177032,41.517761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,397.0,Band 66,66986.0,132522.0,10.0,-93.31,-14.19,-60.31,,,-5.0,23.1,13.0,13.0,,,,,,TM4,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NonCA,,Band 66,,,,
16,2022-08-12 15:34:33.800000,-94.176987,41.517761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
17,2022-08-12 15:34:33.900000,-94.176949,41.517761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,397.0,Band 66,66986.0,132522.0,10.0,-91.25,-15.44,-57.44,,,-4.0,22.4,15.0,14.0,,,,,,TM4,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,NonCA,,Band 66,,,,
18,2022-08-12 15:34:34.000000,-94.176903,41.517761,-94.1769,41.51776,15:34:34,90.0,131.0,131.0,35.84,1.0,2.0,,,,,,,,,,,,,,,,,,LTE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,2022-08-12 15:34:34.200000,-94.176811,41.517757,,,,,,,,,,,8.0,7.0,325.0,20.0,10.0,46.0,291.0,28.0,18.0,64.0,142.0,31.0,23.0,70.0,340.0,31.0,,,,397.0,Band 66,66986.0,132522.0,10.0,-94.75,-10.0,-64.5,,,-3.0,22.7,15.0,15.0,,,,,,TM4,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,NonCA,,Band 66,,,,
20,2022-08-12 15:34:34.300000,-94.176773,41.517757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
21,2022-08-12 15:34:34.500000,-94.176682,41.517754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,397.0,Band 66,66986.0,132522.0,10.0,-92.75,-14.56,-60.5,,,,20.7,13.0,14.0,,,,,,TM4,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,NonCA,,Band 66,,,,
22,2022-08-12 15:34:34.800000,-94.176552,41.517754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,397.0,Band 66,66986.0,132522.0,10.0,-93.44,-13.75,-62.69,,-3.75,-3.5,21.2,13.0,14.0,,,,,,TM4,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,NonCA,,Band 66,0.0,0.0,0.0,0.0
23,2022-08-12 15:34:35.000000,-94.17646,41.51775,-94.17646,41.51775,15:34:35,90.0,131.0,131.0,36.69,1.0,2.0,,,,,,,,,,,,,,,,,,LTE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,2022-08-12 15:34:35.200000,-94.176369,41.51775,,,,,,,,,,,8.0,7.0,325.0,20.0,10.0,46.0,291.0,28.0,18.0,64.0,142.0,34.0,23.0,70.0,340.0,33.0,,,,397.0,Band 66,66986.0,132522.0,10.0,-92.81,-15.0,-59.88,,,,18.5,11.0,13.0,,,,,,TM4,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,NonCA,,Band 66,,,,
25,2022-08-12 15:34:35.300000,-94.176331,41.51775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
26,2022-08-12 15:34:35.500000,-94.176239,41.51775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,397.0,Band 66,66986.0,132522.0,10.0,-94.69,-16.63,-60.19,,,-3.0,15.8,10.0,11.0,,,,,,TM4,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NonCA,,Band 66,,,,
27,2022-08-12 15:34:35.800000,-94.176109,41.51775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0
28,2022-08-12 15:34:36.000000,-94.176018,41.51775,-94.17602,41.51775,15:34:36,90.0,131.0,131.0,36.67,1.0,2.0,,,,,,,,,,,,,,,,,,LTE,,LTE Qualcomm,397.0,Band 66,66986.0,132522.0,10.0,-92.38,-7.06,-66.31,,,-3.0,20.1,14.0,15.0,,,,,,TM4,15.0,,,,,,,,,,0.0,0.0,0.0,,,,0.0,,0.0,,,,0.0,,,,0.0,,0.0,,,,,,NonCA,,Band 66,,,,
29,2022-08-12 15:34:36.100000,-94.175972,41.51775,,,,,,,,,,,8.0,7.0,325.0,20.0,10.0,46.0,291.0,30.0,18.0,64.0,142.0,35.0,23.0,70.0,340.0,34.0,,,,397.0,Band 66,66986.0,132522.0,10.0,-93.13,-7.44,-67.19,,-3.25,-2.0,20.5,14.0,15.0,,,,,,TM4,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,NonCA,,Band 66,,,,
30,2022-08-12 15:34:36.300000,-94.175888,41.51775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
31,2022-08-12 15:34:36.400000,-94.175842,41.51775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,397.0,Band 66,66986.0,132522.0,10.0,-94.19,-11.0,-66.19,,,5.5,15.4,9.5,10.5,2.0,0.0,100.0,0.0,0.0,TM4,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,NonCA,,Band 66,,,,
32,2022-08-12 15:34:36.500000,-94.175797,41.51775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,397.0,Band 66,66986.0,132522.0,10.0,-101.28,-13.53,-65.33,,,0.0,17.43,11.0,12.0,,,,,,TM4,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,NonCA,,Band 66,,,,
33,2022-08-12 15:34:36.600000,-94.175758,41.51775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,397.0,Band 66,66986.0,132522.0,10.0,-102.96,-14.88,-64.95,,,1.0,17.09,,,2.0,0.0,100.0,0.0,0.0,TM4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,NonCA,,Band 66,,,,
34,2022-08-12 15:34:36.700000,-94.175713,41.51775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,397.0,Band 66,66986.0,132522.0,10.0,-101.05,-11.99,-66.91,,,1.0,15.62,8.0,9.0,,,,,,TM4,15.0,,0.0,,,QPSK,,,3.0,,,,,,0.0,,,,,,3.0,,,,0.0,,,,,,0.0,,0.0,,NonCA,,Band 66,,,,
35,2022-08-12 15:34:36.800000,-94.175667,41.51775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,397.0,Band 66,66986.0,132522.0,10.0,-104.88,-12.38,-70.0,,,2.0,16.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NonCA,,Band 66,0.0,0.0,0.0,0.0
36,2022-08-12 15:34:36.900000,-94.175629,41.51775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,397.0,Band 66,66986.0,132522.0,10.0,-97.41,-9.59,-68.93,,,5.86,16.4,,,2.0,0.0,100.0,0.0,0.0,TM4,,,0.0,,,QPSK,,,3.0,,,,,,0.0,,,,,,3.0,,,,0.0,,,,,,,,,,NonCA,,Band 66,,,,
37,2022-08-12 15:34:37.000000,-94.175583,41.51775,-94.17558,41.51775,15:34:37,90.0,131.0,131.0,36.67,1.0,2.0,,,,,,,,,,,,,,,,,,LTE,,LTE Qualcomm,397.0,Band 66,66986.0,132522.0,10.0,-100.61,-10.33,-68.17,,,0.0,14.71,9.0,10.0,,,,,,TM4,15.0,4x2,,,20.67,,,256QAM,,1.67,0.05,0.05,0.0,0.0,,,0.007,0.009,0.007,0.008,,1.67,0.05,0.0,,,0.007,0.009,0.007,0.008,0.002,,0.002,,NonCA,NonCA,Band 66,,,,
38,2022-08-12 15:34:37.100000,-94.175537,41.51775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,397.0,Band 66,66986.0,132522.0,10.0,-103.83,-13.46,-68.56,,,7.5,8.55,9.33,4.33,1.0,100.0,0.0,0.0,0.0,TM4,14.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,NonCA,,Band 66,,,,
39,2022-08-12 15:34:37.200000,-94.175491,41.51775,,,,,,,,,,,8.0,7.0,325.0,16.0,10.0,46.0,291.0,27.0,18.0,64.0,142.0,30.0,23.0,70.0,340.0,32.0,,,,397.0,Band 66,66986.0,132522.0,10.0,-105.31,-14.74,-68.15,14.0,,4.5,10.73,,,1.0,100.0,0.0,0.0,0.0,TM4,,,5.67,,,64QAM,,,2.67,,,,,,0.0,,,,,,2.67,,,,0.0,,,,,,0.002,,0.002,,NonCA,,Band 66,,,,
40,2022-08-12 15:34:37.300000,-94.175453,41.51775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,397.0,Band 66,66986.0,132522.0,10.0,-103.99,-14.77,-67.29,,2.0,7.71,10.41,15.0,0.0,,,,,,TM4,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NonCA,,Band 66,0.002,0.003,132.0,198.0
41,2022-08-12 15:34:37.400000,-94.175407,41.51775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,397.0,Band 66,66986.0,132522.0,10.0,-104.05,-12.13,-67.47,,,3.0,14.48,15.0,0.0,,,,,,TM4,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001,,,NonCA,,Band 66,,,,
42,2022-08-12 15:34:37.500000,-94.175362,41.51775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,397.0,Band 66,66986.0,132522.0,10.0,-101.53,-9.51,-66.79,,,4.57,16.16,15.0,0.0,2.0,0.0,100.0,0.0,0.0,TM4,15.0,,4.25,,,QPSK,,,3.0,,,,,,0.0,0.0,,,,,3.0,,,,0.0,0.0,,,,,0.002,,0.002,,NonCA,,Band 66,,,,
43,2022-08-12 15:34:37.600000,-94.175316,41.51775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,397.0,Band 66,66986.0,132522.0,10.0,-102.32,-9.44,-68.28,,,-1.0,17.35,11.0,11.0,,,,,,TM4,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.002,NonCA,,Band 66,,,,
44,2022-08-12 15:34:37.700000,-94.17527,41.51775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,397.0,Band 66,66986.0,132522.0,10.0,-102.48,-9.94,-68.27,,,3.13,16.95,12.0,12.0,2.0,0.0,100.0,0.0,0.0,TM4,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.004,,0.004,,NonCA,,Band 66,,,,
45,2022-08-12 15:34:37.800000,-94.175232,41.51775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,397.0,Band 66,66986.0,132522.0,10.0,-99.81,-11.52,-65.84,,,5.5,15.34,12.0,11.0,,,,,,TM4,15.0,,5.5,,,64QAM,,,3.0,,,,,,0.0,,,,,,3.0,,,,0.0,,,,,,,,,,NonCA,,Band 66,0.003,0.002,198.0,132.0
46,2022-08-12 15:34:37.900000,-94.175186,41.51775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,397.0,Band 66,66986.0,132522.0,10.0,-99.84,-12.24,-64.96,,,3.89,16.44,10.0,10.0,2.0,0.0,100.0,0.0,0.0,TM4,15.0,,,,23.0,,,256QAM,,1.55,,,,,,16.67,,,,,,1.55,,,,16.67,,,,,,,,,NonCA,NonCA,Band 66,,,,
47,2022-08-12 15:34:38.000000,-94.17514,41.51775,-94.17514,41.51775,15:34:38,90.0,131.0,131.0,36.67,1.0,2.0,,,,,,,,,,,,,,,,,,LTE,,LTE Qualcomm,397.0,Band 66,66986.0,132522.0,10.0,-101.2,-12.16,-64.89,,,,18.08,12.0,11.0,,,,,,TM4,15.0,,,,,,,,,,0.05,0.05,0.0,0.03,,,0.013,0.024,0.013,0.018,,,0.05,0.03,,,0.013,0.024,0.013,0.018,0.002,,0.002,,NonCA,,Band 66,,,,
48,2022-08-12 15:34:38.100000,-94.175095,41.51775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,397.0,Band 66,66986.0,132522.0,10.0,-101.13,-12.12,-65.97,,,1.71,17.9,13.0,12.0,,,,,,TM4,15.0,,6.67,,,QPSK,,,3.0,,,,,,0.0,,,,,,3.0,,,,0.0,,,,,,,,,,NonCA,,Band 66,,,,
49,2022-08-12 15:34:38.200000,-94.175049,41.51775,,,,,,,,,,,8.0,7.0,325.0,27.0,10.0,46.0,291.0,27.0,18.0,64.0,142.0,31.0,23.0,70.0,340.0,33.0,,,,397.0,Band 66,66986.0,132522.0,10.0,-101.03,-9.48,-67.78,,,6.67,17.79,,,2.0,0.0,100.0,0.0,0.0,TM4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.002,,NonCA,,Band 66,,,,
50,2022-08-12 15:34:38.300000,-94.175011,41.51775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,397.0,Band 66,66986.0,132522.0,10.0,-101.31,-11.43,-65.51,,,5.08,18.78,13.0,12.0,2.0,0.0,100.0,0.0,0.0,TM4,15.0,,,,25.0,,,256QAM,,2.0,,,,,,28.57,,,,,,2.0,,,,28.57,,,,,0.002,,,,NonCA,NonCA,Band 66,0.002,0.003,132.0,198.0
51,2022-08-12 15:34:38.400000,-94.174965,41.51775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,397.0,Band 66,66986.0,132522.0,10.0,-99.17,-9.43,-65.97,,,1.7,20.27,13.0,13.0,,,,,,TM4,15.0,,13.33,,,256QAM,,,3.0,,,,,,0.0,0.0,,,,,3.0,,,,0.0,0.0,,,,,,,,,NonCA,,Band 66,,,,
52,2022-08-12 15:34:38.500000,-94.174919,41.51775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,397.0,Band 66,66986.0,132522.0,10.0,-98.99,-9.41,-66.69,11.12,,5.7,19.9,,,2.0,0.0,100.0,0.0,0.0,TM4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.002,,0.002,,NonCA,,Band 66,,,,
53,2022-08-12 15:34:38.600000,-94.174873,41.51775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,397.0,Band 66,66986.0,132522.0,10.0,-100.88,-10.4,-68.23,,0.56,4.38,18.03,13.0,13.0,,,,,,TM4,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.003,NonCA,,Band 66,,,,
54,2022-08-12 15:34:38.700000,-94.174828,41.51775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,397.0,Band 66,66986.0,132522.0,10.0,-100.68,-11.19,-67.94,,,4.2,17.81,14.0,13.0,,,,,,TM4,15.0,,7.0,,,QPSK,,,3.0,,,,,,0.0,,,,,,3.0,,,,0.0,,,,,,0.004,,0.004,,NonCA,,Band 66,,,,
