TIME_STAMP,Lon,Lat,Smart Phone Smart Throughput Mobile Network DL Throughput [Mbps],Smart Phone Smart Throughput Mobile Network UL Throughput [Mbps]
2022-08-09 18:30:13.000000,-115.179962,36.097870,0.012,0.008
2022-08-09 18:30:14.000000,-115.179962,36.097870,0.000,0.001
2022-08-09 18:30:15.000000,-115.179939,36.097980,0.000,0.000
2022-08-09 18:30:16.000000,-115.179932,36.098137,0.000,0.000
2022-08-09 18:30:17.000000,-115.179932,36.098160,0.000,0.000
2022-08-09 18:30:18.000000,-115.179909,36.098434,0.000,0.000
2022-08-09 18:30:19.000000,-115.179909,36.098480,0.000,0.000
2022-08-09 18:30:20.000000,-115.179855,36.098782,0.000,0.000
2022-08-09 18:30:21.000000,-115.179825,36.098949,0.004,0.001
2022-08-09 18:30:22.000000,-115.179771,36.099117,0.010,0.028
2022-08-09 18:30:23.000000,-115.179710,36.099277,0.062,0.014
2022-08-09 18:30:24.000000,-115.179634,36.099445,0.199,0.009
2022-08-09 18:30:25.000000,-115.179626,36.099468,0.079,0.045
2022-08-09 18:30:26.000000,-115.179512,36.099751,0.207,0.011
2022-08-09 18:30:27.000000,-115.179489,36.099800,0.003,0.003
2022-08-09 18:30:28.000000,-115.179420,36.100090,0.003,0.003
2022-08-09 18:30:29.000000,-115.179375,36.100292,0.003,0.003
2022-08-09 18:30:30.000000,-115.179344,36.100464,0.003,0.003
2022-08-09 18:30:31.000000,-115.179314,36.100636,0.003,0.003
2022-08-09 18:30:32.000000,-115.179291,36.100803,0.003,0.003
2022-08-09 18:30:33.000000,-115.179291,36.100830,0.003,0.003
2022-08-09 18:30:34.000000,-115.179291,36.100830,0.003,0.003
2022-08-09 18:30:35.000000,-115.179291,36.100830,0.003,0.003
2022-08-09 18:30:36.000000,-115.179230,36.101364,0.003,0.003
2022-08-09 18:30:37.000000,-115.179222,36.101585,0.003,0.003
2022-08-09 18:30:38.000000,-115.179222,36.101738,0.003,0.003
2022-08-09 18:30:39.000000,-115.179237,36.101887,0.003,0.003
2022-08-09 18:30:40.000000,-115.179260,36.102047,0.003,0.003
2022-08-09 18:30:41.000000,-115.179291,36.102196,0.003,0.003
2022-08-09 18:30:42.000000,-115.179329,36.102348,0.003,0.003
2022-08-09 18:30:43.000000,-115.179337,36.102371,0.003,0.003
2022-08-09 18:30:44.000000,-115.179428,36.102619,0.003,0.003
2022-08-09 18:30:45.000000,-115.179482,36.102772,0.003,0.003
2022-08-09 18:30:46.000000,-115.179520,36.102901,0.002,0.002
2022-08-09 18:30:47.000000,-115.179527,36.102921,0.000,0.000
2022-08-09 18:30:48.000000,-115.179596,36.103100,0.000,0.000
2022-08-09 18:30:49.000000,-115.179611,36.103130,0.000,0.000
2022-08-09 18:30:50.000000,-115.179649,36.103249,0.000,0.000
2022-08-09 18:30:51.000000,-115.179680,36.103313,0.000,0.000
2022-08-09 18:30:52.000000,-115.179703,36.103348,0.000,0.000
2022-08-09 18:30:53.000000,-115.179718,36.103367,0.000,0.000
2022-08-09 18:30:54.000000,-115.179733,36.103386,0.000,0.000
2022-08-09 18:30:55.000000,-115.179733,36.103390,0.000,0.000
2022-08-09 18:30:56.000000,-115.179741,36.103405,0.000,0.000
2022-08-09 18:30:57.000000,-115.179741,36.103409,0.000,0.000
2022-08-09 18:30:58.000000,-115.179741,36.103401,0.000,0.000
2022-08-09 18:30:59.000000,-115.179741,36.103401,0.000,0.000
2022-08-09 18:31:00.000000,-115.179741,36.103401,0.000,0.000
2022-08-09 18:31:01.000000,-115.179741,36.103401,0.000,0.000
2022-08-09 18:31:02.000000,-115.179741,36.103401,0.000,0.000
2022-08-09 18:31:03.000000,-115.179741,36.103401,0.000,0.000
2022-08-09 18:31:04.000000,-115.179741,36.103401,0.000,0.000
2022-08-09 18:31:05.000000,-115.179741,36.103401,0.000,0.000
2022-08-09 18:31:06.000000,-115.179741,36.103401,0.000,0.000
2022-08-09 18:31:07.000000,-115.179741,36.103401,0.011,0.031
2022-08-09 18:31:08.000000,-115.179741,36.103409,0.029,0.005
2022-08-09 18:31:09.000000,-115.179741,36.103409,0.000,0.000
2022-08-09 18:31:10.000000,-115.179741,36.103409,0.000,0.000
2022-08-09 18:31:11.000000,-115.179741,36.103409,0.000,0.000
2022-08-09 18:31:12.000000,-115.179741,36.103409,0.000,0.000
2022-08-09 18:31:13.000000,-115.179741,36.103409,0.000,0.000
2022-08-09 18:31:14.000000,-115.179741,36.103420,0.000,0.000
2022-08-09 18:31:15.000000,-115.179741,36.103420,0.000,0.000
2022-08-09 18:31:16.000000,-115.179749,36.103436,0.000,0.000
2022-08-09 18:31:17.000000,-115.179749,36.103439,0.000,0.000
2022-08-09 18:31:18.000000,-115.179764,36.103455,0.000,0.000
2022-08-09 18:31:19.000000,-115.179779,36.103485,0.000,0.000
2022-08-09 18:31:20.000000,-115.179787,36.103531,0.000,0.000
2022-08-09 18:31:21.000000,-115.179810,36.103588,0.000,0.000
2022-08-09 18:31:22.000000,-115.179832,36.103657,0.000,0.000
2022-08-09 18:31:23.000000,-115.179848,36.103737,0.000,0.000
2022-08-09 18:31:24.000000,-115.179871,36.103924,0.000,0.000
2022-08-09 18:31:25.000000,-115.179878,36.103958,0.000,0.000
2022-08-09 18:31:26.000000,-115.179893,36.104061,0.000,0.000
2022-08-09 18:31:27.000000,-115.179901,36.104298,0.000,0.000
2022-08-09 18:31:28.000000,-115.179901,36.104340,0.000,0.000
2022-08-09 18:31:29.000000,-115.179901,36.104458,0.000,0.000
2022-08-09 18:31:30.000000,-115.179901,36.104725,0.008,0.010
2022-08-09 18:31:31.000000,-115.179901,36.104771,0.000,0.000
2022-08-09 18:31:32.000000,-115.179901,36.105019,0.000,0.000
2022-08-09 18:31:33.000000,-115.179901,36.105068,0.000,0.000
2022-08-09 18:31:34.000000,-115.179893,36.105320,0.000,0.000
2022-08-09 18:31:35.000000,-115.179893,36.105495,0.000,0.000
2022-08-09 18:31:36.000000,-115.179893,36.105652,0.000,0.000
2022-08-09 18:31:37.000000,-115.179893,36.105804,0.000,0.000
2022-08-09 18:31:38.000000,-115.179893,36.105965,0.000,0.000
2022-08-09 18:31:39.000000,-115.179893,36.105991,0.000,0.000
2022-08-09 18:31:40.000000,-115.179893,36.106258,0.000,0.000
2022-08-09 18:31:41.000000,-115.179893,36.106312,0.000,0.000
2022-08-09 18:31:42.000000,-115.179893,36.106586,0.123,0.010
2022-08-09 18:31:43.000000,-115.179893,36.106640,0.001,0.001
2022-08-09 18:31:44.000000,-115.179901,36.106922,0.000,0.000
2022-08-09 18:31:45.000000,-115.179901,36.107124,0.000,0.000
2022-08-09 18:31:46.000000,-115.179901,36.107292,0.000,0.000
2022-08-09 18:31:47.000000,-115.179901,36.107319,0.000,0.000
2022-08-09 18:31:48.000000,-115.179901,36.107601,0.000,0.000
2022-08-09 18:31:49.000000,-115.179901,36.107658,0.000,0.000
2022-08-09 18:31:50.000000,-115.179901,36.107952,0.000,0.000
2022-08-09 18:31:51.000000,-115.179901,36.108009,0.000,0.000
2022-08-09 18:31:52.000000,-115.179901,36.108150,0.000,0.000
2022-08-09 18:31:53.000000,-115.179901,36.108181,0.004,0.018
2022-08-09 18:31:54.000000,-115.179909,36.108597,0.243,0.066
Count,102,102,102,102
Minimum,-115.179962,36.108597,0.000,0.000
Maximum,-115.179222,36.108597,0.243,0.066
Average,,,0.010,0.003
Stdev,,,0.039,0.009
Median,,,0.000,0.000
5%-tile,,,0.000,0.000
95%-tile,,,0.061,0.014
